geoid,geoid2,schooldistrictname,aveincome
9700000US4214850,4214850,Central Fulton School District,59518
9700000US4214880,4214880,McGuffey School District,77014
9700000US4214940,4214940,McKeesport Area School District,49136
9700000US4215030,4215030,Mechanicsburg Area School District,84167
9700000US4215120,4215120,Mercer Area School District,68185
9700000US4215150,4215150,Meyersdale Area School District,59525
9700000US4215170,4215170,Mid Valley School District,58373
9700000US4215210,4215210,Midd-West School District,61169
9700000US4215240,4215240,Middletown Area School District,65271
9700000US4215270,4215270,Midland Borough School District,37221
9700000US4215290,4215290,Mifflin County School District,58147
9700000US4215330,4215330,Millcreek Township School District,79567
9700000US4215360,4215360,Millersburg Area School District,62938
9700000US4215450,4215450,Millville Area School District,67432
9700000US4215480,4215480,Milton Area School District,59403
9700000US4215510,4215510,Minersville Area School District,56245
9700000US4215540,4215540,Mohawk Area School District,68701
9700000US4215600,4215600,Monessen City School District,49658
9700000US4215660,4215660,Montgomery Area School District,62646
9700000US4215720,4215720,Montour School District,88750
9700000US4215750,4215750,Montoursville Area School District,72556
9700000US4215810,4215810,Montrose Area School District,69210
9700000US4215830,4215830,Moon Area School District,106727
9700000US4215900,4215900,Morrisville Borough School District,84044
9700000US4215960,4215960,Moshannon Valley School District,52389
9700000US4215990,4215990,Mount Carmel Area School District,49777
9700000US4216020,4216020,Mount Union Area School District,49342
9700000US4216050,4216050,Mountain View School District,73317
9700000US4216110,4216110,Mount Lebanon School District,123526
9700000US4216170,4216170,Mount Pleasant Area School District,62157
9700000US4216200,4216200,Muhlenberg School District,70892
9700000US4216230,4216230,Muncy School District,65322
9700000US4216290,4216290,Greater Nanticoke Area School District,53487
9700000US4216380,4216380,Nazareth Area School District,97528
9700000US4216410,4216410,Neshaminy School District,101439
9700000US4216440,4216440,Neshannock Township School District,100581
9700000US4216500,4216500,Woodland Hills School District,61879
9700000US4216530,4216530,New Brighton Area School District,53791
9700000US4216620,4216620,New Castle Area School District,45518
9700000US4216740,4216740,New Kensington-Arnold School District,49929
9700000US4216860,4216860,New Hope-Solebury School District,175931
9700000US4216890,4216890,Newport School District,69486
9700000US4216980,4216980,Norristown Area School District,76886
9700000US4217010,4217010,North Allegheny School District,124779
9700000US4217100,4217100,Moniteau School District,61969
9700000US4217130,4217130,North Clarion County School District,63135
9700000US4217160,4217160,North East School District,71895
9700000US4217220,4217220,North Hills School District,81562
9700000US4217280,4217280,North Penn School District,104756
9700000US4217310,4217310,North Pocono School District,83013
9700000US4217370,4217370,Northampton Area School District,81466
9700000US4217430,4217430,Riverside Beaver County School District,79586
9700000US4217460,4217460,Northeast Bradford School District,64651
9700000US4217520,4217520,Northeastern York School District,76339
9700000US4217580,4217580,Northern Bedford County School District,62300
9700000US4217610,4217610,Northern Cambria School District,56819
9700000US4217640,4217640,Northern Lebanon School District,71346
9700000US4217670,4217670,Northern Lehigh School District,67228
9700000US4217700,4217700,Northern Potter School District,50538
9700000US4217730,4217730,Northern Tioga School District,58156
9700000US4217760,4217760,Northern York County School District,85151
9700000US4217770,4217770,Northgate School District,54761
9700000US4217790,4217790,Northwest Area School District,67544
9700000US4217850,4217850,Northwestern Lehigh School District,97083
9700000US4217880,4217880,Northwestern School District,63065
9700000US4217940,4217940,Norwin School District,83909
9700000US4218030,4218030,Octorara Area School District,83547
9700000US4218090,4218090,Oil City Area School District,56888
9700000US4218120,4218120,Old Forge School District,63500
9700000US4218150,4218150,Oley Valley School District,84289
9700000US4218210,4218210,Oswayo Valley School District,55521
9700000US4218240,4218240,Otto-Eldred School District,60175
9700000US4218270,4218270,Owen J. Roberts School District,125077
9700000US4218300,4218300,Oxford Area School District,92662
9700000US4218330,4218330,Palisades School District,97102
9700000US4218360,4218360,Palmerton Area School District,69526
9700000US4218390,4218390,Palmyra Area School District,80848
9700000US4218450,4218450,Panther Valley School District,50174
